Condition,Low,Medium,High
Illuminance (lx),113.98311204406271,139.52520313597046,131.83021295181928
CIE 1931 xy chromaticity [x],0.4691077976763896,0.3916073361494234,0.31853710944939967
CIE 1931 xy chromaticity [y],0.4145158604502686,0.3869334319121309,0.33514285111006675
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.4746671152441531,0.3978962155232219,0.32335315154200583
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.41292094328926876,0.38365176615022606,0.3335473177332857
S-cone-opic irradiance (mW ⋅ m⁻²),22.269432916831303,58.58516665378532,102.3307517944246
M-cone-opic irradiance (mW ⋅ m⁻²),128.87356389393773,176.38063565205383,184.8909865286678
L-cone-opic irradiance (mW ⋅ m⁻²),189.89994317516022,227.21305608664107,211.47985848756875
Rhodopic irradiance (mW ⋅ m⁻²),85.90544547938914,134.04931056280552,168.74957702446954
Melanopic irradiance (mW ⋅ m⁻²),65.24896465309381,109.57792311566908,146.84274974588618
S-cone-opic EDI (lx),27.247907833230293,71.68225734972683,125.20744932360816
M-cone-opic EDI (lx),88.52262145408194,121.15499695893476,127.00071540055343
L-cone-opic EDI (lx),116.58115158617193,139.48798136059125,129.82924074400864
Rhodopic EDI (lx),59.25724879089121,92.46670338463497,116.40281490066671
Melanopic EDI (lx),49.19945389527056,82.62466699558946,110.72333690485499
S-cone-opic ELR,0.1953748456018867,0.4198894919127461,0.7762314078323153
M-cone-opic ELR,1.1306373512956795,1.2641489256974376,1.4024932706149913
L-cone-opic ELR,1.6660357817020313,1.6284732147296488,1.6041835460347733
Rhodopic ELR,0.7536681876713498,0.9607533803922969,1.280052373776741
Melanopic ELR,0.5724441409168611,0.7853629355327505,1.1138778164573975
"CCT (K) - Ohno, 2013",2605.501348260646,3788.075308092397,6163.851372156827
"CCT (K) - Robertson, 1968",2605.3547930332456,3787.6266562707124,6162.559026866447
Colour Fidelity Index [Rf],91.69504181895701,85.69898957645434,85.67501142956522
Colour Rendering Index [Ra],93.875,84.375,86.875
CIE 1960 UCS [u],0.2666910076711014,0.22834291906647186,0.19956464873677604
CIE 1976 UCS [u prime],0.2666910076711014,0.22834291906647186,0.19956464873677604
CIE 1960 UCS [v],0.3534826741317447,0.3384264076714514,0.3149523087311428
CIE 1976 UCS [v prime],0.5302240111976171,0.5076396115071771,0.4724284630967142
Duv,0.000740209691912,0.001607657045206,0.0034597548792392185
"TM30 - CCT (K) - Ohno, 2013",2605.4763243358466,3788.1487412737183,6163.803083030541
TM30 - Duv,0.0007360031665185105,0.0016041502567564847,0.0034594907920043605
TM30 - Colour Fidelity Index [Rf],91.69491705735942,85.69890216053054,85.67477673740365
TM30 - Gamut Index (Rg),99.41014600292421,95.63128037994902,100.02960478229372
"TM30 - Rcs, h1",-0.04439410083326232,-0.10843693886226484,-0.07391519484345928
"TM30 - Rf, h1",90.77204803161527,81.63188688135159,84.94860106254443